"date_part","count"
1435636800,1
1435723200,466
1435809600,520
1435896000,652
1435982400,781
1436068800,666
1436155200,319
1436241600,344
1436328000,357
1436414400,240
1436500800,389
1436587200,714
1436673600,436
1436760000,341
1436846400,260
1436932800,368
1437019200,526
1437105600,441
1437192000,620
1437278400,439
1437364800,382
1437451200,380
1437537600,504
1437624000,509
1437710400,487
1437796800,686
1437883200,923
1437969600,390
1438056000,347
1438142400,355
1438228800,356
1438315200,494
1438401600,593
1438488000,589
1438574400,272
1438660800,418
1438747200,461
1438833600,432
1438920000,487
1439006400,557
1439092800,542
1439179200,318
1439265600,438
1439352000,411
1439438400,434
1439524800,420
1439611200,600
1439697600,459
1439784000,430
1439870400,290
1439956800,425
1440043200,407
1440129600,519
1440216000,714
1440302400,592
1440388800,379
1440475200,373
1440561600,375
1440648000,406
1440734400,449
1440820800,664
1440907200,477
1440993600,328
1441080000,311
1441166400,331
1441252800,396
1441339200,376
1441425600,380
1441512000,612
1441598400,587
1441684800,334
1441771200,238
1441857600,257
1441944000,398
1442030400,163
1442116800,247
1442203200,337
1442289600,405
1442376000,398
1442462400,389
1442548800,401
1442635200,592
1442721600,479
1442808000,334
1442894400,339
1442980800,400
1443067200,432
1443153600,531
1443240000,553
1443326400,415
1443412800,208
1443499200,80
1443585600,208
1443672000,349
1443758400,314
1443844800,194
1443931200,283
1444017600,274
1444104000,299
1444190400,398
1444276800,343
1444363200,228
1444449600,402
1444536000,399
1444622400,293
1444708800,244
1444795200,250
1444881600,289
1444968000,257
1445054400,200
1445140800,107
1445227200,203
1445313600,324
1445400000,294
1445486400,218
1445572800,283
1445659200,218
1445745600,176
1445832000,184
1445918400,181
1446004800,73
1446091200,200
1446177600,207
1446264000,208
1446350400,203
1446440400,199
1446526800,231
1446613200,229
1446699600,285
1446786000,185
1446872400,266
1446958800,216
1447045200,166
1447131600,59
1447218000,191
1447304400,186
1447390800,197
1447477200,138
1447563600,195
1447650000,179
1447736400,164
1447822800,173
1447909200,221
1447995600,236
1448082000,164
1448168400,47
1448254800,100
1448341200,120
1448427600,121
1448514000,108
1448600400,198
1448686800,30
1448773200,50
1448859600,87
1448946000,61
1449032400,82
1449118800,110
1449205200,115
1449291600,120
1449378000,120
1449464400,122
1449550800,99
1449637200,112
1449723600,141
1449810000,178
1449896400,653
1449982800,225
1450069200,86
1450155600,147
1450242000,147
1450328400,56
1450414800,65
1450501200,63
1450587600,62
1450674000,72
1450760400,102
1450846800,84
1450933200,94
1451019600,42
1451106000,75
1451192400,26
1451278800,35
1451365200,59
1451451600,75
1451538000,26
