"to_station","from_station","count"
"Liberty Ave & Baum Blvd","Liberty Ave & S Millvale",31
"Fifth Ave & S Bouquet","Bigelow Blvd & Fifth Ave",27
"S Negley Ave & Baum Blvd","S Whitfield St & Baum Blvd",27
"S 27th & Tunnel Blvd","Ellsworth Ave & N Neville St",26
"21st St & Penn Ave","Federal St & E North Ave",36
"S 22nd St & E Carson St","Liberty & Stanwix",74
"Forbes Ave & Market Sq","21st St & Penn Ave",143
"North Shore Trail & Ft Duquesne Bridge","Isabella St & Federal St",91
"Ross St & Sixth Ave","17th St & Penn Ave",46
"S 22nd St & E Carson St","S 27th & Tunnel Blvd",50
"Fort Duquesne Blvd & 7th","21st St & Penn Ave",72
"Schenley Dr at Schenley Plaza","Maryland Ave & Walnut St",65
"Fifth Ave & S Bouquet","Fifth Ave & S Bouquet",257
"42nd St & Butler St","Liberty Ave & S Millvale",31
"Ivy St & Walnut St","Liberty Ave & S Millvale",64
"Forbes Ave & Market Sq","S 12th St & E Carson St",88
"42nd St & Butler St","37th St & Butler St",50
"Third & Wood","Maryland Ave & Walnut St",34
"42nd St & Penn Ave","S Whitfield St & Baum Blvd",38
"S Whitfield St & Baum Blvd","Ellsworth Ave & N Neville St",47
"S 25th St & E Carson St","Forbes Ave & Market Sq",29
"Ridge Ave & Brighton Rd (CCAC)","Ross St & Sixth Ave",53
"Stevenson St & Forbes Ave","S 12th St & E Carson St",69
"Alder St & S Higland Ave","Penn Ave & Putnam St (Bakery Sq)",144
"Forbes Ave & Market Sq","Liberty & Stanwix",93
"Centre Ave and Consol","Centre Ave and Consol",82
"Forbes Ave & Grant St","Isabella St & Federal St",30
"Fifth Ave & S Bouquet","Maryland Ave & Walnut St",39
"First Ave & Smithfield St","10th St & Penn Ave",29
"Forbes Ave & Market Sq","S 27th & Tunnel Blvd",57
"Maryland Ave & Ellsworth Ave","Alder St & S Higland Ave",26
"Coltart Ave & Forbes Ave","Shady Ave & Ellsworth Ave",29
"Schenley Dr at Schenley Plaza","Bigelow Blvd & Fifth Ave",33
"42nd St & Butler St","21st St & Penn Ave",116
"Ivy St & Walnut St","Alder St & S Higland Ave",80
"Stevenson St & Forbes Ave","S 27th & Tunnel Blvd",28
"Fort Duquesne Blvd & 7th","S 27th & Tunnel Blvd",38
"Bigelow Blvd & Fifth Ave","Penn Ave & N Fairmount St",33
