"to_station","from_station","count"
"S 12th St & E Carson St","Liberty & Stanwix",70
"Isabella St & Federal St","Isabella St & Federal St",637
"Liberty & Stanwix","S 27th & Tunnel Blvd",64
"17th St & Penn Ave","12th St & Penn Ave",49
"Penn Ave & Putnam St (Bakery Sq)","Bigelow Blvd & Fifth Ave",80
"10th St & Penn Ave","12th St & Penn Ave",44
"S 12th St & E Carson St","S 12th St & E Carson St",438
"21st St & Penn Ave","Liberty & Stanwix",147
"42nd St & Penn Ave","42nd St & Penn Ave",95
"Fifth Ave & S Dithridge St","Coltart Ave & Forbes Ave",28
"North Shore Trail & Ft Duquesne Bridge","12th St & Penn Ave",39
"Fifth Ave & S Bouquet","Ivy St & Walnut St",207
"Fifth Ave & S Bouquet","Maryland Ave & Ellsworth Ave",39
"First Ave & B St","First Ave & Smithfield St",26
"S 27th & Tunnel Blvd","S 12th St & E Carson St",104
"Federal St & E North Ave","Third & Wood",31
"North Shore Trail & Ft Duquesne Bridge","S 18th St & Sidney St",30
"37th St & Butler St","Liberty & Stanwix",39
"21st St & Penn Ave","S 27th & Tunnel Blvd",29
"Federal St & E North Ave","Forbes Ave & Grant St",36
"First Ave & Smithfield St","Forbes Ave & Market Sq",38
"Ridge Ave & Brighton Rd (CCAC)","Federal St & E North Ave",40
"Liberty & Stanwix","S 12th St & E Carson St",73
"Penn Ave & N Fairmount St","42nd St & Penn Ave",45
"Zulema St & Coltart Ave","Coltart Ave & Forbes Ave",42
"Federal St & E North Ave","Ross St & Sixth Ave",46
"Schenley Dr at Schenley Plaza","Ellsworth Ave & N Neville St",28
"Centre Ave & Kirkpatrick St","Centre Ave & Kirkpatrick St",33
"S 12th St & E Carson St","First Ave & B St",87
"Liberty Ave & S Millvale","Fifth Ave & S Bouquet",41
"North Shore Trail & Ft Duquesne Bridge","10th St & Penn Ave",71
"Bigelow Blvd & Fifth Ave","Atwood St & Bates",64
"Shady Ave & Ellsworth Ave","Shady Ave & Ellsworth Ave",76
"Liberty Ave & Baum Blvd","Ivy St & Walnut St",27
"Forbes Ave & Market Sq","Ridge Ave & Brighton Rd (CCAC)",44
"Frew St & Schenley Dr","Ellsworth Ave & N Neville St",66
"Penn Ave & Putnam St (Bakery Sq)","Alder St & S Higland Ave",179
"Alder St & S Higland Ave","Fifth Ave & S Bouquet",93
"North Shore Trail & Ft Duquesne Bridge","17th St & Penn Ave",33
"S 27th & Tunnel Blvd","First Ave & B St",105
"S Euclid Ave & Centre Ave","S Euclid Ave & Centre Ave",122
"17th St & Penn Ave","10th St & Penn Ave",165
"S 22nd St & E Carson St","S 25th St & E Carson St",33
"10th St & Penn Ave","10th St & Penn Ave",799
"S 25th St & E Carson St","S 18th St & Sidney St",104
"Forbes Ave & Market Sq","S 22nd St & E Carson St",71
"10th St & Penn Ave","17th St & Penn Ave",223
"17th St & Penn Ave","17th St & Penn Ave",204
"Fifth Ave & S Bouquet","Boulevard of the Allies & Parkview Ave",171
"42nd St & Penn Ave","Liberty Ave & Baum Blvd",73
"S 27th & Tunnel Blvd","Fifth Ave & S Bouquet",78
"Fort Duquesne Blvd & 7th","42nd St & Butler St",45
"Bigelow Blvd & Fifth Ave","Zulema St & Coltart Ave",28
"Fifth Ave & S Bouquet","Penn Ave & Putnam St (Bakery Sq)",27
"Alder St & S Higland Ave","Maryland Ave & Walnut St",29
"Maryland Ave & Walnut St","Fifth Ave & S Dithridge St",28
"Forbes Ave & Market Sq","42nd St & Butler St",59
"Federal St & E North Ave","21st St & Penn Ave",26
"17th St & Penn Ave","North Shore Trail & Ft Duquesne Bridge",30
"10th St & Penn Ave","North Shore Trail & Ft Duquesne Bridge",66
"Ridge Ave & Brighton Rd (CCAC)","Ridge Ave & Brighton Rd (CCAC)",290
"Forbes Ave & Grant St","17th St & Penn Ave",39
"S 12th St & E Carson St","Third & Wood",36
"S 12th St & E Carson St","Forbes Ave & Grant St",77
"Atwood St & Bates","Atwood St & Bates",245
"Liberty & Stanwix","Forbes Ave & Grant St",32
"Liberty & Stanwix","Third & Wood",53
"Fifth Ave & S Bouquet","Ellsworth Ave & N Neville St",61
"Fifth Ave & S Dithridge St","Fifth Ave & S Dithridge St",172
"S 25th St & E Carson St","First Ave & Smithfield St",33
"S 27th & Tunnel Blvd","Third & Wood",49
"Atwood St & Bates","Fifth Ave & S Dithridge St",27
"S 27th & Tunnel Blvd","Forbes Ave & Grant St",31
"Zulema St & Coltart Ave","Zulema St & Coltart Ave",120
"Frew St & Schenley Dr","Boulevard of the Allies & Parkview Ave",53
"Schenley Dr at Schenley Plaza","Penn Ave & Putnam St (Bakery Sq)",36
"Maryland Ave & Ellsworth Ave","Maryland Ave & Ellsworth Ave",121
"Federal St & E North Ave","Liberty & Stanwix",32
"Forbes Ave & Market Sq","S 25th St & E Carson St",31
"Isabella St & Federal St","Forbes Ave & Market Sq",154
"Liberty Ave & S Millvale","Bigelow Blvd & Fifth Ave",31
"S 22nd St & E Carson St","S 22nd St & E Carson St",380
"Alder St & S Higland Ave","Bigelow Blvd & Fifth Ave",48
"North Shore Trail & Ft Duquesne Bridge","North Shore Trail & Ft Duquesne Bridge",962
"Isabella St & Federal St","Fort Duquesne Blvd & 7th",67
"Maryland Ave & Ellsworth Ave","Ivy St & Walnut St",30
"42nd St & Butler St","Ivy St & Walnut St",27
"Ivy St & Walnut St","Ivy St & Walnut St",252
"Schenley Dr at Schenley Plaza","Boulevard of the Allies & Parkview Ave",244
"42nd St & Butler St","42nd St & Butler St",432
"21st St & Penn Ave","Third & Wood",33
"21st St & Penn Ave","Forbes Ave & Grant St",39
"Liberty & Stanwix","17th St & Penn Ave",115
"Coltart Ave & Forbes Ave","Boulevard of the Allies & Parkview Ave",84
"Liberty & Stanwix","10th St & Penn Ave",147
"S Negley Ave & Baum Blvd","Ivy St & Walnut St",35
"Alder St & S Higland Ave","Shady Ave & Ellsworth Ave",27
"Bigelow Blvd & Fifth Ave","Bigelow Blvd & Fifth Ave",190
"Penn Ave & Putnam St (Bakery Sq)","Taylor St & Liberty Ave",29
"Fifth Ave & S Dithridge St","Maryland Ave & Walnut St",28
"Forbes Ave & Grant St","Forbes Ave & Grant St",218
"S 12th St & E Carson St","10th St & Penn Ave",30
"S 25th St & E Carson St","S 27th & Tunnel Blvd",57
"Zulema St & Coltart Ave","Fifth Ave & S Bouquet",113
"Ivy St & Walnut St","Liberty Ave & Baum Blvd",33
"Stevenson St & Forbes Ave","Stevenson St & Forbes Ave",188
"Ellsworth Ave & N Neville St","Ivy St & Walnut St",100
"Fort Duquesne Blvd & 7th","Fort Duquesne Blvd & 7th",528
"Forbes Ave & Market Sq","Fort Duquesne Blvd & 7th",32
"21st St & Penn Ave","17th St & Penn Ave",42
"21st St & Penn Ave","10th St & Penn Ave",417
"Forbes Ave & Market Sq","Stevenson St & Forbes Ave",104
"Atwood St & Bates","Fifth Ave & S Bouquet",121
"10th St & Penn Ave","Maryland Ave & Walnut St",40
"Maryland Ave & Walnut St","Bigelow Blvd & Fifth Ave",40
"Forbes Ave & Market Sq","Forbes Ave & Market Sq",907
"Fifth Ave & S Dithridge St","Fifth Ave & S Bouquet",50
"Ross St & Sixth Ave","Federal St & E North Ave",42
"Stevenson St & Forbes Ave","Forbes Ave & Market Sq",76
"First Ave & B St","Forbes Ave & Grant St",36
"37th St & Butler St","10th St & Penn Ave",114
"Fort Duquesne Blvd & 7th","Forbes Ave & Market Sq",36
"S 25th St & E Carson St","S 12th St & E Carson St",57
"37th St & Butler St","17th St & Penn Ave",50
"North Shore Trail & Ft Duquesne Bridge","Third & Wood",29
"Zulema St & Coltart Ave","Bigelow Blvd & Fifth Ave",44
